icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,43041,JAGDALPUR,,IN,19.0833,82.0333,554,5,43041
,,43049,GOPALPUR,,IN,19.2667,84.8833,16,5,43049
,,43063,PUNE,,IN,18.5333,73.85,555,5,43063
,,43086,RAMGUNDAM,,IN,18.7667,79.4333,156,5,43086
,,43110,RATNAGIRI,,IN,16.9833,73.3333,91,5,43110
,,43128,HYDERABAD AIRPORT,,IN,17.45,78.4667,530,5,43128
,,43150,VISHAKHAPATNAM/WALTAIR,,IN,17.6833,83.3,69,5,43150
,,43185,MACHILIPATNAM/FRANCHPET,,IN,16.2,81.15,3,5,43185
,,43192,GOA/PANJIM,,IN,15.4833,73.8167,59,5,43192
,,43201,GADAG,,IN,15.4167,75.6333,668,5,43201
,,43237,ANANTAPUR,,IN,14.6833,77.6167,349,5,43237
,,43279,MADRAS/MINAMBAKKAM,,IN,13.0,80.1833,10,5,43279
,,43285,MANGALORE/PANAMBUR,,IN,12.95,74.8333,30,5,43285
,,43295,BENGALURU,,IN,12.9667,77.5833,916,5,43295
,,43311,AMINIDIVI,,IN,11.1167,72.7333,2,5,43311
,,43333,PORT BLAIR,,IN,11.6667,92.7167,79,5,43333
,,43344,TIRUCHCHIRAPALLI,,IN,10.7667,78.7167,88,5,43344
,,43346,KARAIKAL,,IN,10.9167,79.8333,6,5,43346
,,43353,COCHIN/WILLINGDON,,IN,9.95,76.2667,1,5,43353
,,43369,MINICOY,,IN,8.2813,73.0581,1,5,43369
,,43371,THIRUVANANTHAPURAM (43371-0),,IN,8.4833,76.95,59,5,43371
,,40706,TABRIZ,,IR,38.1222,46.2425,1361,5,40706
,,40738,GORGAN,,IR,36.905,54.4136,0,5,40738
,,40745,MASHHAD,,IR,36.2363,59.6311,999,5,40745
,,40754,TEHRAN-MEHRABAD,,IR,35.6933,51.3094,1191,5,40754
,,40766,KERMANSHAH,,IR,34.3522,47.1533,1318,5,40766
,,40800,ESFAHAN,,IR,32.5175,51.7061,1550,5,40800
,,40809,BIRJAND,,IR,32.8905,59.2836,1491,5,40809
,,40811,AHWAZ,,IR,31.3447,48.7441,22,5,40811
,,40821,YAZD,,IR,31.9038,54.2897,1230,5,40821
,,40841,KERMAN,,IR,30.25,56.9667,1748,5,40841
,,40848,SHIRAZ,,IR,29.5613,52.6025,1488,5,40848
,,40856,ZAHEDAN,,IR,29.4722,60.9002,1370,5,40856
,,40875,BANDARABBASS,,IR,27.2147,56.3727,9,5,40875
,,40179,BET DAGAN,,IS,32.0,34.8167,30,5,40179
,,40186,ASHDOD NORTH,,IS,31.8667,34.6833,20,5,40186
,,16037,AVIANO (16037-0),,IT,46.0303,12.5992,113,5,16037
,,16044,UDINE/CAMPOFORMIDO,,IT,46.0333,13.1833,93,5,16044
,,16045,UDINE/RIVOLTO,,IT,45.9756,13.0492,51,5,16045
,,16064,NOVARA/CAMERI,,IT,45.53,8.6667,178,5,16064
,,16080,MILANO/LINATE (16080-0),,IT,45.4494,9.2783,108,5,16080
,,16113,CUNEO-LEVALDIGI RDS,,IT,44.5392,7.6125,385,5,16113
,,16144,S. PIETRO CAPOFIUME RDS,,IT,44.6539,11.6225,10,5,16144
,,16245,PRATICA DI MARE,,IT,41.6556,12.4481,12,5,16245
,,16320,BRINDISI,,IT,40.6578,17.9517,14,5,16320
,,16332,LECCE (16332-0),,IT,40.2383,18.1389,49,5,16332
,,16429,TRAPANI BIRGI,,IT,37.9142,12.4914,7,5,16429
,,16546,DECIMOMANNU,,IT,39.3461,8.9675,29,5,16546
,,16560,CAGLIARI ELMAS,,IT,39.2436,9.06,4,5,16560
,,65548,MAN,,IV,7.3833,-7.5167,339,5,65548
,,65578,ABIDJAN,,IV,5.25,-3.9333,7,5,65578
,,40650,BAGHDAD INT. AIRPORT,,IZ,33.3,44.4,32,5,40650
,,47401,WAKKANAI,,JA,45.4153,141.6786,2,5,47401
,,47412,SAPPORO,,JA,43.06,141.3286,17,5,47412
,,47418,KUSHIRO (47418-0),,JA,42.9861,144.3772,4,5,47418
,,47420,NEMURO,,JA,43.3333,145.5833,26,5,47420
,,47580,MISAWA AB,,JA,40.7053,141.3719,36,5,47580
,,47582,AKITA (47582-0),,JA,39.7172,140.0994,6,5,47582
,,47600,WAJIMA,,JA,37.3914,136.8953,5,5,47600
,,47646,TATENO,,JA,36.0581,140.1258,25,5,47646
,,47678,HACHIJOJIMA,,JA,33.1217,139.7792,151,5,47678
,,47681,HAMAMATSU AB,,JA,34.7503,137.703,45,5,47681
,,47741,MATSUE,,JA,35.4572,133.0656,16,5,47741
,,47744,YONAGO,,JA,35.4333,133.35,6,5,47744
,,47778,SHIONOMISAKI (47778-0),,JA,33.4503,135.7572,67,5,47778
,,47807,FUKUOKA,,JA,33.5822,130.3764,2,5,47807
,,47827,KAGOSHIMA,,JA,31.555,130.548,3,5,47827
,,47909,NAZE,,JA,28.3797,129.4955,2,5,47909
